Student_ID,Course_Code
125041154,ENEE2304
125041154,ENEE3307
125041154,ENEE4312
125041154,STAT2311
129937326,COMP2110
129937326,COMP2340
129937326,MATH1321
129937326,MATH2380
129937326,PHYS1411
125446912,COMP2380
125446912,COMP3320
125446912,COMP3330
125446912,MATH2321
126229731,COMP3340
126229731,COMP3390
126229731,COMP4110
126229731,COMP4120
126229731,COMP4310
124769795,COMP3320
124769795,COMP3330
124769795,COMP4330
124769795,COMP4350
124769795,COMP4360
121120642,COMP2340
121120642,COMP2380
121120642,COMP3390
121120642,ENEE2304
121120642,ENEE4312
121120642,STAT2311
122188789,COMP2110
122188789,COMP2340
122188789,MATH1321
122188789,MATH2380
122188789,PHYS1411
123219824,COMP2380
123219824,COMP3320
123219824,COMP3330
123219824,COMP4310
123219824,MATH2321
123219824,STAT2311
122582524,COMP3340
122582524,COMP3390
122582524,COMP4110
122582524,COMP4120
127897151,COMP3320
127897151,COMP3330
127897151,COMP4330
127897151,COMP4350
127897151,COMP4360
127754864,COMP2380
127754864,ENEE2304
127754864,ENEE3307
127754864,ENEE4312
127754864,STAT2311
129997381,COMP2340
129997381,MATH1321
129997381,MATH2380
129997381,STAT2311
129997381,PHYS1411
128761611,COMP2380
128761611,COMP3320
128761611,COMP3330
128761611,MATH2321
128761611,STAT2311
121247595,COMP3340
121247595,COMP3390
121247595,COMP4110
121247595,COMP4120
121247595,COMP4310
129075854,COMP3320
129075854,COMP3330
129075854,COMP4330
129075854,COMP4350
127358113,COMP2380
127358113,ENEE2304
127358113,ENEE3307
127358113,ENEE4312
127358113,MATH2380
127358113,STAT2311
127358113,PHYS1411
129164991,COMP2110
129164991,COMP2340
129164991,MATH1321
129164991,MATH2380
129164991,PHYS1411
122022698,COMP2380
122022698,COMP3320
122022698,MATH2321
122022698,STAT2311
129436429,COMP3340
129436429,COMP3390
129436429,COMP4110
129436429,COMP4120
129436429,COMP4310
122149597,COMP3320
122149597,COMP3330
122149597,COMP4110
122149597,COMP4330
122149597,COMP4350
122149597,COMP4360
125130808,COMP2380
125130808,ENEE2304
125130808,ENEE4312
125130808,STAT2311
128033426,COMP2110
128033426,COMP2340
128033426,MATH1321
128033426,MATH2380
128033426,PHYS1411
125004485,COMP2380
125004485,COMP3320
125004485,COMP3330
125004485,MATH2321
125004485,STAT2311
126304573,COMP3340
126304573,COMP3390
126304573,COMP4110
126304573,COMP4120
126304573,COMP4310
124576135,COMP3320
124576135,COMP3330
124576135,COMP4330
124576135,COMP4350
124576135,COMP4360
125098412,COMP2380
125098412,ENEE2304
125098412,ENEE3307
125098412,ENEE4312
125098412,MATH2321
125098412,STAT2311
125098412,PHYS1411
121131249,COMP2110
121131249,COMP2340
121131249,MATH1321
121131249,MATH2380
123253031,COMP2380
123253031,COMP3320
123253031,COMP3330
123253031,MATH2321
123253031,STAT2311
124533779,COMP3340
124533779,COMP3390
124533779,COMP4110
124533779,COMP4120
124533779,COMP4310
125213115,COMP3320
125213115,COMP3330
125213115,COMP4330
125213115,COMP4360
125641923,COMP2380
125641923,ENEE2304
125641923,ENEE3307
125641923,ENEE4312
125641923,STAT2311
123710895,COMP2110
123710895,COMP2340
123710895,COMP4110
123710895,MATH1321
123710895,MATH2380
123710895,PHYS1411
123500715,COMP3320
123500715,COMP3330
123500715,MATH2321
123500715,STAT2311
128210624,COMP3340
128210624,COMP3390
128210624,COMP4110
128210624,COMP4120
128210624,COMP4310
127003042,COMP3320
127003042,COMP3330
127003042,COMP4330
127003042,COMP4350
127003042,COMP4360
127817881,COMP2340
127817881,COMP4120
127817881,COMP4310
127817881,ENEE2304
127817881,ENEE3307
127817881,ENEE4312
127817881,STAT2311
124009172,COMP2110
124009172,COMP2340
124009172,MATH1321
124009172,MATH2380
124009172,PHYS1411
123670896,COMP2380
123670896,COMP3320
123670896,COMP3330
123670896,MATH2321
123670896,STAT2311
124348276,COMP3340
124348276,COMP3390
124348276,COMP4110
124348276,COMP4120
124740036,COMP3320
124740036,COMP3330
124740036,COMP4110
124740036,COMP4330
124740036,COMP4350
124740036,COMP4360
125682940,COMP2380
125682940,ENEE2304
125682940,ENEE3307
125682940,ENEE4312
125682940,STAT2311
122935113,COMP2110
122935113,COMP2340
122935113,MATH2380
122935113,PHYS1411
121641849,COMP2380
121641849,COMP3320
121641849,COMP3330
121641849,MATH2321
121641849,STAT2311
129580255,COMP3340
129580255,COMP3390
129580255,COMP4110
129580255,COMP4120
129580255,COMP4310
128315831,COMP3320
128315831,COMP3330
128315831,COMP4330
128315831,COMP4350
122173965,COMP2380
122173965,COMP3390
122173965,ENEE2304
122173965,ENEE3307
122173965,ENEE4312
122173965,MATH2321
122173965,STAT2311
127851696,COMP2110
127851696,COMP2340
127851696,MATH1321
127851696,MATH2380
127851696,PHYS1411
124218542,COMP2380
124218542,COMP3320
124218542,COMP3330
124218542,MATH2321
126049101,COMP3340
126049101,COMP3390
126049101,COMP4110
126049101,COMP4120
126049101,COMP4310
128212326,COMP3320
128212326,COMP3330
128212326,COMP4330
128212326,COMP4350
128212326,COMP4360
124585314,COMP2380
124585314,ENEE2304
124585314,ENEE4312
124585314,STAT2311
122422633,COMP2110
122422633,COMP2340
122422633,COMP4310
122422633,MATH1321
122422633,MATH2380
122422633,PHYS1411
124340845,COMP2380
124340845,COMP3320
124340845,COMP3330
124340845,MATH2321
124340845,STAT2311
122221854,COMP3340
122221854,COMP4110
122221854,COMP4120
122221854,COMP4310
127442089,COMP3320
127442089,COMP3330
127442089,COMP4330
127442089,COMP4350
127442089,COMP4360
122788238,COMP2380
122788238,COMP3320
122788238,COMP3340
122788238,ENEE2304
122788238,ENEE3307
122788238,ENEE4312
122788238,STAT2311
128658158,COMP2110
128658158,COMP2340
128658158,MATH2380
128658158,PHYS1411
128425149,COMP2380
128425149,COMP3320
128425149,COMP3330
128425149,MATH2321
128425149,STAT2311
128963715,COMP3340
128963715,COMP3390
128963715,COMP4110
128963715,COMP4120
128963715,COMP4310
125013879,COMP3320
125013879,COMP3330
125013879,COMP4310
125013879,COMP4330
125013879,COMP4350
125558623,COMP2380
125558623,ENEE2304
125558623,ENEE3307
125558623,ENEE4312
125558623,STAT2311
123530518,COMP2110
123530518,COMP2340
123530518,MATH1321
123530518,MATH2380
123530518,PHYS1411
122077581,COMP2380
122077581,COMP3320
122077581,COMP3330
122077581,STAT2311
127975534,COMP3320
127975534,COMP3340
127975534,COMP3390
127975534,COMP4110
127975534,COMP4120
127975534,COMP4310
127381734,COMP3320
127381734,COMP3330
127381734,COMP4330
127381734,COMP4350
127381734,COMP4360
128030010,COMP2380
128030010,COMP3390
128030010,COMP4120
128030010,ENEE2304
128030010,ENEE3307
128030010,STAT2311
129900001,MATH1321
129900001,PHYS1411
129900001,COMP2110
129900001,COMP2340
129900001,MATH2380
129900001,STAT2311
129900002,COMP3320
129900002,COMP3330
129900002,COMP3340
129900002,COMP3390
129900002,COMP4110
129900002,COMP4120
129900003,COMP4110
129900003,COMP4120
129900003,COMP4310
129900003,COMP4330
129900003,COMP4350
129900003,COMP4360
129900004,ENEE2304
129900004,ENEE3307
129900004,ENEE4312
129900004,COMP2380
129900004,STAT2311
129900004,MATH2321
129900005,MATH1321
129900005,MATH2321
129900005,MATH2380
129900005,STAT2311
129900005,PHYS1411
129900005,COMP2110
